,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2199,グリーンキャピタル神楽坂,3980,東京都新宿区山吹町,45.37,1LDK,5.46,1979-04-01,東京メトロ東西線,神楽坂,7,16267,東京都,新宿区,山吹町,35.7076832,139.7300768
2200,東急ドエル・アルス音羽II,3980,東京都文京区音羽１,43.95,2DK,6.51,1986-09-01,東京メトロ有楽町線,江戸川橋,5,13557,東京都,文京区,音羽１,35.7141507,139.7297575
2201,◆ヴィップ東日本橋◆,3980,東京都中央区東日本橋２,55.84,2K,7.56,1981-06-01,ＪＲ総武線快速,馬喰町,3,15475,東京都,中央区,東日本橋２,35.6935105,139.7862967
2202,セザール代々木,3980,東京都渋谷区代々木３-８－６,27.22,ワンルーム,5.29,1996-03-01,ＪＲ山手線,代々木,8,10088,東京都,渋谷区,代々木３-８－６,35.6831909,139.6959636
2203,ライオンズシティ千駄木,3980,東京都文京区千駄木２,40.66,ワンルーム,2.77,1999-01-01,東京メトロ千代田線,千駄木,5,9052,東京都,文京区,千駄木２,35.7227937,139.7620134
2204,グローリオ新宿夏目坂,3980,東京都新宿区原町３,31.01,1DK,3.84,2014-10-01,都営大江戸線,若松河田,4,3300,東京都,新宿区,原町３,35.6998595,139.7227338
2205,牛込ハイマンション,3980,東京都新宿区原町１,63.13,1LDK,9.72,1970-11-01,都営大江戸線,牛込柳町,2,19340,東京都,新宿区,原町１,35.7003115,139.7252878
2206,ヴェラハイツ新宿御苑,3980,東京都新宿区新宿２,37.77,1LDK,2.24,1978-03-01,東京メトロ丸ノ内線,新宿御苑前,3,16663,東京都,新宿区,新宿２,35.6897887,139.7083697
2207,パシフィック白金台,3980,東京都港区白金台４,43.74,2DK,5.94,1977-03-01,東京メトロ南北線,白金台,7,17028,東京都,港区,白金台４,35.6390759,139.7249685
2208,松濤ハウス,3980,東京都渋谷区松濤２,38.1,1LDK,8.7,1978-12-01,ＪＲ山手線,渋谷,16,16388,東京都,渋谷区,松濤２,35.6598231,139.6901802
2209,【事務所使用可】＝＝　ニュー・ステイト・メナー　＝＝,3980,東京都渋谷区代々木２-23-1,34.92,ワンルーム,,1976-05-01,ＪＲ山手線,新宿,8,17332,東京都,渋谷区,代々木,35.6862545,139.6980477
2210,高田馬場住宅,3980,東京都新宿区下落合２-2-2,49.85,2DK,4.0,1969-11-01,ＪＲ山手線,高田馬場,5,19705,東京都,新宿区,下落合,35.7168105,139.7041275
2211,リーラ文京本駒込,3980,東京都文京区本駒込４,35.2,1DK,6.6,1995-05-01,ＪＲ山手線,田端,11,10393,東京都,文京区,本駒込４,35.7317024,139.7556247
